Guest_A;Guest_B
Ricky Bonilla;Michael Mitchell
Daniel Ray;Katelyn Williams
Aaron Cortez;Christopher Perry
Robert Williams;Joseph Monroe
Jason Gill;Patrick Humphrey
Sean Romero;Vincent Wright
Sean Martinez;Ashley Jarvis
Brandy Bolton;Pamela Johnson
Michael Rubio;Scott Mcguire
Robin Miller;Preston Walker
Joe Simmons;Denise Burnett
Denise Carr;Amy Cox
Gabriel Watson;Kimberly Snyder
Marcus Parker;Sydney Nelson
Vanessa Williams;Brandy Armstrong
Dorothy Gomez;Nicole Barnes
Michael Choi;Erica Hines
Austin Alvarez;Sean Romero
Pamela Johnson;Brandy Thomas
Katelyn Anderson;Edward Sutton
Mary Ruiz;James Manning
Jane Miles;Casey Knapp
Aaron Ballard MD;Holly Cox
Kristen Brooks;Michael Davila
Jaime Petersen;Katelyn Williams
Brandy Dalton;Wayne Ray
Daniel Cortez;Daniel Tran
Dawn Gonzalez;Michael Brown
Shelby Reese;Kimberly Morgan
Jaime Fisher;Patrick Brown
Michael Robinson;Anthony Alvarez
Daniel Petersen;Kimberly Morgan
Meghan Evans;Wesley Stevenson
Cynthia Hawkins;Whitney Reyes
Joseph Monroe;Andrea Morgan
Katelyn Anderson;Robert Nelson
Daniel Choi;Justin Holden
Thomas Silva;Melanie Nguyen
Kimberly Sherman;Kenneth Snyder
Luis Le;Daniel Wright
Cindy Brooks;Holly Nelson
Amy Mcgee;Wesley Leonard
Jeffery Dalton;Austin Alvarez
Destiny Sanchez;Alexis Sutton
Rebecca Mullins;Sydney Nelson
Luis Le;Terry Richardson
Daniel Williams;Patrick DDS
Jacqueline White;Preston Walker
Jessica Gomez;Mary PhD
Jonathan Meyers;Michael Martin
Casey Burke;Christopher Cox
Nathaniel Matthews;Jason Williamson
Preston Parker;Luis Carlson
Daniel Hickman;Timothy Mason
Angelica Williams;Marc Brown
Vanessa Reid;Robert Richardson
Mrs. Jones;Michele Wright
Karen Brown;Preston Parker
Robert Fisher;Jean Harrison
Karen Matthews;David Reid
